"SOUTH SHIELDS (BENTS PARK)",,,,,,,,,,,,
Grid ref,NZ372672,Long,-1.420040,Lat,54.997994,,,,,,,
Station no,3557,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.60,2.12,1.09,2.73,1.98,4.07,1.54,1.66,2.50,4.93,,
February,2.13,0.75,1.56,1.98,2.24,1.75,1.96,3.86,0.51,1.98,,
March,3.50,1.34,0.02,1.05,1.87,0.69,1.16,3.45,0.66,1.55,,
April,1.46,1.54,2.11,0.38,0.89,1.10,0.46,1.90,1.54,0.74,,
May,3.30,2.01,2.18,2.91,1.45,0.47,1.60,2.73,0.49,2.06,,
June,1.83,2.32,1.69,2.31,2.48,2.61,1.99,2.18,2.51,0.53,,
July,1.28,0.84,2.60,1.73,0.88,2.77,2.78,3.09,1.96,3.30,,
August,4.32,1.69,4.22,4.78,0.99,6.54,3.51,3.42,0.80,3.50,,
September,0.84,3.25,0.99,2.33,0.99,2.28,3.79,1.97,0.74,1.95,,
October,1.05,1.93,1.19,4.02,1.95,2.03,1.74,1.04,1.45,5.50,,
November,5.37,3.51,1.02,3.44,1.39,0.96,1.02,0.84,3.04,2.43,,
December,2.26,3.19,0.84,1.62,3.13,2.33,1.60,3.19,3.17,1.89,,
Total,28.94,24.49,19.51,29.28,20.24,27.60,23.15,29.33,19.37,30.36,,
Calc annual,28.94,24.49,19.51,29.28,20.24,27.60,23.15,29.33,19.37,30.36,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
