"HOY",,,,,,,,,,,,
Grid ref,NH766339,Long,-4.054011,Lat,57.378758,,,,,,,
Station no,5701/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.84,4.66,,
February,,,,,,,,,1.17,3.59,,
March,,,,,,,,,1.17,0.71,,
April,,,,,,,,,3.61,2.87,,
May,,,,,,,,3.43,1.30,0.86,,
June,,,,,,,,2.03,2.50,-999.00,,
July,,,,,,,,4.39,2.61,-999.00,,
August,,,,,,,,4.96,1.44,8.97,,
September,,,,,,,,2.98,0.86,2.38,,
October,,,,,,,,3.63,4.71,3.64,,
November,,,,,,,,1.51,4.29,1.37,,
December,,,,,,,,3.83,3.28,3.85,,
Total,,,,,,,,,31.78,-999.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.76,31.78,32.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-1031.90,,
