"DUNFORD BRIDGE (END SPRINGS)",,,,,,,,,,,,
Grid ref,SE130022,Long,-1.805418,Lat,53.516318,,,,,,,
Station no,3162/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.10,8.50,3.95,5.35,5.65,6.50,5.70,7.05,6.55,8.25,,
February,6.45,3.40,4.00,6.85,4.30,3.20,5.35,10.00,0.75,3.95,,
March,8.15,3.75,3.95,4.35,5.20,3.35,5.35,4.30,3.00,2.75,,
April,4.05,3.65,4.35,1.35,3.05,3.35,0.60,2.50,6.25,4.25,,
May,4.05,2.70,2.90,4.85,5.65,2.00,1.70,4.90,1.75,2.70,,
June,1.20,3.75,4.70,3.75,4.30,4.10,2.00,6.05,2.05,2.70,,
July,4.50,2.95,8.55,8.90,1.45,10.30,6.15,5.65,5.25,8.90,,
August,7.50,4.55,5.95,8.40,1.35,13.35,8.75,4.75,1.05,6.10,,
September,3.60,7.15,4.20,7.75,3.10,5.75,8.25,5.55,0.35,4.50,,
October,1.25,7.80,3.15,11.55,4.40,4.45,8.25,4.85,6.85,8.65,,
November,12.95,4.75,6.35,10.30,3.10,3.60,3.90,1.90,6.85,8.00,,
December,11.70,6.30,3.65,13.45,8.80,7.90,8.85,6.40,10.80,8.35,,
Total,73.50,59.25,55.70,86.85,50.35,71.85,64.85,63.90,51.50,69.10,,
Calc annual,73.50,59.25,55.70,86.85,50.35,67.85,64.85,63.90,51.50,69.10,,
Difference,-0.00,0.00,0.00,0.00,-0.00,4.00,0.00,0.00,0.00,0.00,,
