"BROMFIELD (OAKLY PARK)",,,,,,,,,,,,
Grid ref,SO491762,Long,-2.749217,Lat,52.381456,,,,,,,
Station no,2268,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,3.02,0.56,2.36,3.07,3.49,2.11,2.68,3.22,5.50,,
February,3.21,0.65,1.86,2.86,1.69,0.71,3.02,5.69,0.47,3.43,,
March,4.20,2.28,1.34,2.44,3.51,1.03,2.42,1.75,2.39,2.21,,
April,2.04,1.97,3.02,0.45,1.26,1.24,0.06,0.44,3.30,1.48,,
May,2.50,2.50,2.29,3.00,4.49,0.54,2.00,2.64,0.99,1.81,,
June,0.50,1.45,1.62,3.85,4.29,2.03,2.13,4.23,2.39,2.09,,
July,2.38,0.83,3.38,1.95,0.46,3.89,2.84,4.36,2.14,2.99,,
August,3.21,5.45,2.69,4.82,0.68,4.77,6.66,2.87,1.51,4.27,,
September,2.63,2.53,3.06,2.25,1.39,3.25,5.41,7.31,0.02,3.74,,
October,0.92,4.18,2.32,3.89,1.80,2.22,1.69,3.24,2.98,6.11,,
November,7.41,2.38,2.17,7.14,3.29,1.24,2.48,2.10,4.59,6.00,,
December,2.72,2.97,1.25,2.43,3.09,3.15,2.18,2.95,6.43,4.07,,
Total,34.36,30.21,25.56,37.44,29.02,27.56,33.00,40.26,30.43,43.70,,
Calc annual,34.36,30.21,25.56,37.44,29.02,27.56,33.00,40.26,30.43,43.70,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
