"BANFF (COASTGUARD STATION)",,,,,,,,,,,,
Grid ref,NJ684638,Long,-2.531286,Lat,57.662973,,,,,,,
Station no,5667/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,2.21,,
October,,,,,,,,,,3.67,,
November,,,,,,,,,,2.74,,
December,,,,,,,,,,1.30,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
