"ARDSLEY RESERVOIR (CHECK GAUGE)",,,,,,,,,,,,
Grid ref,SE287249,Long,-1.566569,Lat,53.719726,,,,,,,
Station no,3246/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.10,1.95,0.83,2.14,1.84,3.61,1.24,2.03,2.34,4.49,,
February,2.70,0.59,1.81,2.22,2.35,1.28,2.60,4.33,0.13,1.62,,
March,3.03,1.74,0.82,1.68,2.39,0.75,1.56,1.63,1.02,2.03,,
April,0.94,1.21,1.99,0.28,0.57,2.59,0.13,0.38,3.94,0.79,,
May,4.49,1.55,1.79,2.82,2.65,0.70,1.05,2.93,0.90,1.16,,
June,0.70,1.85,2.34,1.25,1.46,2.37,1.25,4.02,1.75,1.02,,
July,2.68,1.20,2.75,1.64,0.69,4.34,3.61,4.36,1.69,2.81,,
August,4.71,2.23,2.98,5.18,0.44,6.22,4.41,2.59,0.40,4.98,,
September,2.18,1.50,1.52,2.53,1.33,2.93,3.91,2.48,0.25,3.67,,
October,0.88,3.60,1.77,3.56,1.73,1.29,1.23,1.32,1.91,6.35,,
November,6.38,1.26,2.25,4.05,1.83,0.66,1.77,0.89,3.11,4.70,,
December,2.50,1.96,1.22,2.75,2.84,2.66,3.01,3.46,3.24,2.80,,
Total,33.29,20.64,22.07,30.10,20.12,29.40,25.77,30.42,20.68,36.42,,
Calc annual,33.29,20.64,22.07,30.10,20.12,29.40,25.77,30.42,20.68,36.42,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
