"LOCH ASHIE",,,,,,,,,,,,
Grid ref,NH637359,Long,-4.269488,Lat,57.393029,,,,,,,
Station no,5706/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,2.19,0.98,2.39,1.75,1.97,2.92,2.70,2.71,3.94,,
February,1.64,1.67,2.14,1.39,3.76,2.19,2.86,2.15,1.42,1.36,,
March,1.75,1.68,0.99,2.84,1.71,1.14,2.95,1.79,1.36,0.70,,
April,5.54,1.01,3.64,2.28,0.89,1.84,0.88,2.03,2.67,1.86,,
May,0.83,1.39,4.25,3.36,3.08,1.80,1.37,2.48,1.22,0.99,,
June,2.23,2.78,3.22,2.39,1.05,3.50,1.71,1.62,2.58,3.08,,
July,2.17,1.01,3.85,2.59,0.40,7.21,6.59,3.80,3.03,2.96,,
August,5.21,4.29,2.88,2.51,0.55,8.88,7.10,5.03,2.02,9.14,,
September,1.28,2.82,2.13,2.48,2.54,3.98,1.61,2.71,0.79,2.37,,
October,1.69,3.31,0.64,6.10,4.64,3.17,2.16,2.93,3.54,2.45,,
November,3.84,3.20,2.65,2.23,0.81,2.37,2.41,0.79,5.52,1.91,,
December,4.68,2.80,2.93,5.81,5.42,3.79,3.28,2.30,2.06,2.63,,
Total,33.75,28.15,30.30,36.37,26.60,41.84,35.84,30.33,28.92,33.39,,
Calc annual,33.75,28.15,30.30,36.37,26.60,41.84,35.84,30.33,28.92,33.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
