"DORKING (PIXHAM LANE S.WORKS) SURREY",,,,,,,,,,,,
Grid ref,TQ177506,Long,-0.315213,Lat,51.242444,,,,,,,
Station no,113/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.46,3.00,1.53,1.44,3.10,4.67,2.04,3.23,2.91,3.38,,
February,7.36,0.88,1.71,2.35,1.81,0.32,4.07,2.64,0.04,2.34,,
March,4.34,3.16,0.46,2.62,1.54,0.84,1.36,2.00,2.94,1.60,,
April,3.23,1.68,2.70,0.33,0.23,1.60,0.29,1.08,2.77,0.80,,
May,2.51,1.83,1.94,2.12,4.43,0.24,1.65,2.83,0.59,1.56,,
June,1.03,1.53,1.60,4.82,2.01,2.67,0.59,3.61,0.61,2.10,,
July,2.04,0.76,3.90,3.11,1.35,5.47,3.50,1.55,1.14,2.65,,
August,4.06,3.68,1.53,2.56,1.19,2.92,2.97,2.95,1.52,3.71,,
September,2.84,2.86,3.30,2.29,2.11,2.67,2.72,5.73,0.17,2.74,,
October,1.18,3.37,3.84,2.56,3.89,1.19,1.84,3.27,2.83,7.46,,
November,7.86,3.52,1.57,5.82,1.55,0.90,3.17,1.98,3.26,5.40,,
December,3.15,2.59,0.69,2.40,2.90,4.58,2.25,3.67,5.94,3.81,,
Total,44.06,28.86,24.77,32.42,26.11,28.07,26.45,34.54,24.72,37.55,,
Calc annual,44.06,28.86,24.77,32.42,26.11,28.07,26.45,34.54,24.72,37.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
