"EASTWOOD (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ862879,Long,0.684738,Lat,51.559242,,,,,,,
Station no,1275,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,1.45,,,,,,,,,,
February,5.08,1.43,,,,,,,,,,
March,2.22,2.84,,,,,,,,,,
April,2.45,0.64,,,,,,,,,,
May,2.34,1.25,,,,,,,,,,
June,1.32,1.98,,,,,,,,,,
July,3.02,0.67,,,,,,,,,,
August,2.75,1.43,,,,,,,,,,
September,3.38,4.48,,,,,,,,,,
October,0.73,1.67,,,,,,,,,,
November,3.09,,,,,,,,,,,
December,1.13,,,,,,,,,,,
Total,29.27,,,,,,,,,,,
Calc annual,29.27,17.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
