"GISLA POWER STATION",,,,,,,,,,,,
Grid ref,NB128257,Long,-6.880186,Lat,58.126646,,,,,,,
Station no,5792/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,8.39,6.50,,
February,,,,,,,,,5.06,3.61,,
March,,,,,,,,,3.08,1.43,,
April,,,,,,,,,8.16,6.65,,
May,,,,,,,,,2.03,2.07,,
June,,,,,,,,,6.21,4.78,,
July,,,,,,,,,7.33,3.71,,
August,,,,,,,,,6.59,4.77,,
September,,,,,,,,,5.95,5.01,,
October,,,,,,,,7.76,8.28,1.85,,
November,,,,,,,,4.95,11.47,6.94,,
December,,,,,,,,4.98,8.39,8.96,,
Total,,,,,,,,,80.94,56.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.69,80.94,56.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
