"LYME REGIS (LONG CLOSE)",,,,,,,,,,,,
Grid ref,SY333923,Long,-2.946354,Lat,50.726475,,,,,,,
Station no,1590/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.59,6.01,3.91,,
February,,,,,,,,3.55,0.48,3.64,,
March,,,,,,,,2.00,3.87,2.21,,
April,,,,,,,,0.85,2.47,3.05,,
May,,,,,,,,3.17,0.65,2.15,,
June,,,,,,,,2.71,1.01,1.54,,
July,,,,,,,,2.51,2.17,4.01,,
August,,,,,,,,3.48,1.96,5.51,,
September,,,,,,,,5.57,0.11,6.29,,
October,,,,,,,,2.61,3.66,10.31,,
November,,,,,,,2.55,2.89,5.76,5.08,,
December,,,,,,,3.29,6.41,7.68,4.00,,
Total,,,,,,,,39.34,35.83,51.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.84,39.34,35.83,51.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
