"SOUTHAMPTON (PORTSWOOD)",,,,,,,,,,,,
Grid ref,SU434146,Long,-1.383825,Lat,50.929226,,,,,,,
Station no,693,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,1.83,1.04,1.89,3.57,4.84,2.75,4.60,3.60,3.91,,
February,6.18,0.64,1.34,2.97,1.96,0.08,4.10,2.83,0.10,2.82,,
March,4.01,2.53,0.61,2.38,1.14,0.65,2.04,1.72,3.80,1.70,,
April,2.71,1.72,1.47,0.22,0.29,1.97,0.09,0.82,2.72,1.11,,
May,2.54,2.75,2.51,1.92,3.88,0.22,1.45,2.18,0.49,1.34,,
June,1.17,1.20,2.13,3.48,2.40,1.97,1.51,3.70,0.95,2.58,,
July,2.21,0.18,4.47,2.52,2.36,2.20,4.41,1.70,2.12,3.90,,
August,4.53,3.78,1.64,4.53,1.09,3.08,3.63,4.73,1.92,5.97,,
September,3.32,3.65,3.29,2.83,1.63,3.76,2.88,5.31,0.04,4.40,,
October,0.82,5.10,5.92,2.77,4.52,2.61,2.46,3.17,2.71,7.91,,
November,9.43,3.69,1.32,4.71,2.80,0.87,2.89,2.91,3.63,4.90,,
December,2.44,2.30,1.37,2.57,4.30,5.48,2.39,4.65,6.54,3.54,,
Total,42.27,29.37,27.11,32.79,29.94,27.73,30.60,38.32,28.62,44.08,,
Calc annual,42.27,29.37,27.11,32.79,29.94,27.73,30.60,38.32,28.62,44.08,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
