"HAMSTALL RIDWARE (NO.1 GAUGE)",,,,,,,,,,,,
Grid ref,SK109192,Long,-1.839882,Lat,52.770286,,,,,,,
Station no,2358/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.98,2.58,0.78,0.99,1.72,3.26,1.05,1.81,2.77,5.10,,
February,2.36,0.57,1.31,2.35,1.86,0.57,1.78,3.52,0.27,1.68,,
March,3.82,1.75,1.07,2.04,2.35,1.10,1.53,1.35,1.64,1.59,,
April,1.85,2.28,2.23,0.39,1.15,0.91,0.20,0.48,2.83,0.89,,
May,3.19,2.31,1.76,2.11,3.29,0.81,0.70,1.68,1.02,1.33,,
June,1.37,2.30,2.14,2.65,2.94,1.87,1.42,4.04,0.88,2.72,,
July,0.76,1.29,2.47,2.87,0.65,1.92,3.51,4.95,1.14,3.27,,
August,4.44,1.64,3.42,4.17,0.87,4.65,4.89,2.43,1.25,3.65,,
September,2.00,1.12,1.88,1.83,1.00,2.10,4.89,2.27,0.26,4.88,,
October,0.66,2.27,1.58,3.42,1.47,1.66,1.42,2.59,2.38,5.27,,
November,5.05,1.30,1.64,5.32,2.23,0.76,1.71,1.34,3.17,3.01,,
December,2.05,2.92,1.08,2.84,1.47,2.93,1.10,2.88,2.96,2.88,,
Total,29.53,22.33,21.36,30.98,21.00,22.54,24.20,29.34,20.57,36.27,,
Calc annual,29.53,22.33,21.36,30.98,21.00,22.54,24.20,29.34,20.57,36.27,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
