"TREHARRIS SERVICE RESERVOIR",,,,,,,,,,,,
Grid ref,ST098975,Long,-3.305689,Lat,51.669008,,,,,,,
Station no,4079,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.28,5.90,2.15,3.18,4.36,7.27,5.92,2.90,8.53,6.98,,
February,6.50,1.22,2.27,6.66,2.74,0.38,6.21,5.76,0.46,5.69,,
March,5.80,3.93,3.33,5.78,2.48,1.69,4.78,1.93,4.64,2.86,,
April,3.88,4.80,4.62,0.82,2.11,1.91,0.16,1.54,5.48,3.63,,
May,3.38,5.98,4.31,3.06,6.20,1.52,1.95,3.99,1.45,1.73,,
June,2.25,3.60,2.64,6.05,6.68,3.60,1.06,3.71,0.73,3.23,,
July,1.06,4.06,5.04,4.44,1.51,6.07,4.74,4.39,6.30,6.22,,
August,7.19,7.68,6.88,5.63,1.52,5.32,3.74,3.98,0.86,4.91,,
September,5.87,4.16,6.21,8.54,2.33,5.75,6.98,10.43,0.42,5.96,,
October,1.50,6.97,4.12,9.56,4.22,2.11,2.99,7.35,6.17,7.63,,
November,11.47,4.00,5.66,11.97,5.35,1.70,2.07,1.37,7.67,13.48,,
December,9.56,5.14,2.00,6.55,7.63,6.61,2.60,5.07,10.60,8.16,,
Total,66.74,57.44,49.23,72.24,47.13,43.93,43.20,52.42,53.31,70.48,,
Calc annual,66.74,57.44,49.23,72.24,47.13,43.93,43.20,52.42,53.31,70.48,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
