"DALNASPIDAL (LUIDHEARNAIDH)",,,,,,,,,,,,
Grid ref,NN622730,Long,-4.259772,Lat,56.827989,,,,,,,
Station no,1338402,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.50,4.90,4.80,4.50,3.40,6.65,10.20,6.80,4.40,,,
February,1.90,2.25,5.20,4.90,2.90,4.80,6.70,3.50,3.40,,,
March,7.30,6.15,0.70,4.70,1.10,2.40,6.30,0.70,5.55,,,
April,6.05,3.45,2.70,2.10,2.75,3.90,2.55,3.30,4.65,,,
May,1.85,3.70,6.70,5.90,3.60,5.70,2.40,5.30,1.55,,,
June,3.90,4.55,4.05,4.10,1.65,4.35,1.20,3.10,4.15,,,
July,3.70,0.95,6.70,3.85,1.00,4.90,6.70,3.00,6.35,,,
August,7.10,6.05,3.65,4.10,1.50,6.90,6.80,8.60,4.50,,,
September,3.80,3.65,5.65,5.30,3.70,7.80,4.20,6.80,1.45,,,
October,1.85,10.00,4.10,14.50,6.40,6.90,7.20,8.65,6.95,,,
November,11.15,4.70,11.30,12.40,3.05,6.10,3.00,1.30,8.62,,,
December,8.85,5.60,8.80,13.20,12.10,13.80,11.00,5.80,11.93,,,
Total,68.95,55.95,64.35,79.55,43.15,74.20,68.25,56.85,63.50,,,
Calc annual,68.95,55.95,64.35,79.55,43.15,74.20,68.25,56.85,63.50,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
