"UPWEY (DORCESTER ROAD)",,,,,,,,,,,,
Grid ref,SY669846,Long,-2.469651,Lat,50.660126,,,,,,,
Station no,1566/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.51,5.72,,,
February,,,,,,,,3.43,0.45,,,
March,,,,,,,,1.50,3.87,,,
April,,,,,,,,0.50,2.15,,,
May,,,,,,,,2.34,1.03,,,
June,,,,,,,,3.40,0.67,,,
July,,,,,,,,2.57,1.76,,,
August,,,,,,,,2.74,2.05,,,
September,,,,,,,,4.73,0.27,,,
October,,,,,,,,3.37,3.78,,,
November,,,,,,,2.74,4.04,4.17,,,
December,,,,,,,2.52,4.70,7.53,,,
Total,,,,,,,,36.83,33.45,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.26,36.83,33.45,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
