"EDINBURGH W.W. (MEGGET HEAD)",,,,,,,,,,,,
Grid ref,NT152199,Long,-3.342784,Lat,55.465560,,,,,,,
Station no,5062,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.34,8.46,3.50,4.39,6.40,3.92,9.70,7.50,3.50,7.00,,
February,9.54,2.12,2.73,5.26,3.00,1.88,6.60,5.40,1.70,9.00,,
March,8.46,4.43,0.78,4.39,2.90,2.90,5.60,2.60,5.50,3.20,,
April,6.52,4.51,5.25,1.04,1.70,0.98,2.50,2.50,6.20,7.00,,
May,2.75,3.12,5.00,7.00,4.70,3.50,3.10,4.50,2.20,4.30,,
June,3.67,3.94,3.50,5.04,3.80,4.60,2.40,5.00,4.20,3.80,,
July,4.63,4.32,8.53,5.50,2.30,6.90,6.10,6.00,5.80,5.20,,
August,8.71,6.51,5.03,6.51,1.90,9.20,6.40,7.00,1.90,5.20,,
September,7.00,2.98,8.03,9.03,3.70,6.70,4.80,6.00,1.50,4.80,,
October,0.94,8.20,5.03,11.10,5.00,4.80,5.20,4.30,7.00,5.60,,
November,15.29,5.26,8.52,15.30,4.00,2.40,3.80,1.40,13.20,12.80,,
December,12.97,6.20,5.54,6.53,7.00,10.00,8.00,6.80,11.00,6.60,,
Total,90.82,60.05,61.44,81.09,46.40,57.78,64.20,59.00,63.70,74.50,,
Calc annual,90.82,60.05,61.44,81.09,46.40,57.78,64.20,59.00,63.70,74.50,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
