"LONG MELFORD (WESTGATE HOUSE)",,,,,,,,,,,,
Grid ref,TL862466,Long,0.716278,Lat,52.086425,,,,,,,
Station no,1339/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.93,2.27,1.00,1.34,2.19,3.03,1.39,2.15,1.93,2.30,,
February,3.58,0.69,1.03,1.91,1.89,0.65,1.82,3.00,0.12,1.10,,
March,3.08,2.76,0.46,2.37,1.44,0.55,1.65,0.69,1.47,1.54,,
April,2.91,1.05,2.41,0.34,0.28,0.70,0.14,0.93,2.17,0.59,,
May,2.55,1.04,1.53,1.69,2.04,0.60,1.08,2.03,0.35,0.49,,
June,1.25,1.60,3.19,2.44,2.58,1.99,1.31,4.88,2.56,0.99,,
July,2.01,0.71,2.38,3.03,0.19,2.56,2.86,2.82,2.86,2.68,,
August,2.26,3.12,1.58,3.42,1.69,5.11,2.54,3.46,0.71,3.14,,
September,3.48,3.47,1.72,1.15,1.89,1.50,3.24,3.10,0.03,4.30,,
October,0.75,2.23,2.41,2.13,4.24,2.28,1.86,1.96,1.99,5.67,,
November,3.60,3.56,1.41,3.69,0.68,0.78,2.44,1.32,2.03,2.98,,
December,1.56,2.52,0.76,2.30,1.64,1.66,1.91,2.91,3.56,2.74,,
Total,28.96,25.02,19.88,25.81,20.75,21.41,22.24,29.25,19.78,28.52,,
Calc annual,28.96,25.02,19.88,25.81,20.75,21.41,22.24,29.25,19.78,28.52,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
