"KETTERING W.W. (CRANSLEY)",,,,,,,,,,,,
Grid ref,SP833782,Long,-0.777229,Lat,52.395491,,,,,,,
Station no,1124,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.44,2.06,1.20,1.12,1.92,3.96,1.37,2.67,3.96,4.02,,
February,2.95,0.71,1.83,2.29,2.17,0.68,2.47,3.27,0.07,1.62,,
March,3.62,2.68,1.02,2.59,2.57,0.80,1.99,1.86,2.32,2.16,,
April,2.85,1.61,2.18,0.36,0.82,1.16,0.39,0.76,2.23,0.69,,
May,3.76,2.10,1.15,2.48,3.87,0.69,1.45,2.91,0.43,1.07,,
June,1.41,1.09,2.45,2.24,2.92,2.90,2.10,5.23,0.64,2.95,,
July,0.69,0.44,2.38,3.06,0.17,3.44,3.01,4.49,2.09,3.05,,
August,3.65,4.31,2.34,4.29,0.89,5.74,2.41,3.05,0.85,2.99,,
September,1.91,2.00,1.83,2.50,1.36,2.12,5.59,1.80,0.06,3.97,,
October,0.89,2.30,1.91,2.63,2.36,1.39,1.35,2.52,1.71,5.54,,
November,5.02,2.87,1.70,4.73,1.30,0.69,1.68,1.82,2.31,3.25,,
December,1.99,2.49,0.82,3.13,1.99,3.49,2.36,2.44,4.51,3.27,,
Total,31.18,24.66,20.81,31.42,22.34,27.06,26.17,32.82,21.18,34.58,,
Calc annual,31.18,24.66,20.81,31.42,22.34,27.06,26.17,32.82,21.18,34.58,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
