"BALFRON (OLD BALLIKINRAIN)",,,,,,,,,,,,
Grid ref,NS559879,Long,-4.315954,Lat,56.062174,,,,,,,
Station no,5375/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.34,5.50,1.98,5.20,3.49,3.36,7.27,6.57,1.83,4.09,,
February,4.14,1.54,1.85,5.46,2.39,1.58,4.61,2.86,1.90,5.11,,
March,4.70,3.86,2.46,4.16,2.06,3.03,5.02,2.00,3.47,3.01,,
April,3.20,2.61,2.51,2.49,2.09,1.22,2.21,1.62,4.13,4.67,,
May,1.87,1.97,2.47,5.58,4.02,2.40,2.94,4.64,1.02,3.50,,
June,3.74,3.72,2.32,3.01,2.57,3.45,1.76,3.67,3.64,2.19,,
July,3.23,2.71,5.61,2.92,1.56,5.55,4.23,4.98,5.90,3.29,,
August,5.77,4.34,3.05,5.52,1.07,5.67,4.05,5.20,1.27,3.38,,
September,4.12,3.06,5.60,7.30,4.49,5.12,3.23,4.94,1.40,2.90,,
October,1.15,6.10,3.57,9.68,4.58,3.80,4.58,4.84,4.64,4.02,,
November,8.22,2.28,7.89,9.26,2.51,1.33,1.90,1.87,6.49,6.88,,
December,8.45,5.06,6.11,7.10,8.61,6.31,6.04,7.22,8.81,5.78,,
Total,54.93,42.75,45.42,67.68,39.44,42.82,47.84,50.41,44.50,48.82,,
Calc annual,54.93,42.75,45.42,67.68,39.44,42.82,47.84,50.41,44.50,48.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
