"EYEMOUTH HIGH SCHOOL",,,,,,,,,,,,
Grid ref,NT942641,Long,-2.094256,Lat,55.870035,,,,,,,
Station no,5093/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.46,2.34,,,,
February,,,,,,,2.73,2.13,,,,
March,,,,,,,1.92,4.27,,,,
April,,,,,,,0.44,2.53,,,,
May,,,,,,,1.02,1.64,,,,
June,,,,,,2.39,0.56,2.70,,,,
July,,,,,,4.20,2.56,4.18,,,,
August,,,,,,8.13,3.21,4.03,,,,
September,,,,,,3.42,2.12,1.71,,,,
October,,,,,,1.18,1.63,1.19,,,,
November,,,,,,0.90,0.75,0.44,,,,
December,,,,,,2.80,2.25,4.41,,,,
Total,,,,,,,21.65,31.57,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.02,21.65,31.57,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,NaN,NaN,,
