"SANDY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL164502,Long,-0.300632,Lat,52.137845,,,,,,,
Station no,1178,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,1.09,0.73,0.60,1.93,,0.86,2.02,2.60,2.01,,
February,2.67,0.47,1.31,1.65,1.50,,2.07,1.91,0.06,1.54,,
March,2.48,2.47,0.44,0.88,1.32,,1.41,1.22,1.94,1.20,,
April,2.55,0.90,1.48,0.30,0.50,,0.22,0.61,1.26,0.24,,
May,1.78,2.60,1.28,2.30,3.59,,1.10,1.53,0.51,0.88,,
June,1.33,2.23,1.96,2.65,2.82,,1.12,5.08,0.41,1.85,,
July,0.85,0.43,2.16,2.33,0.18,,2.61,2.72,2.56,2.75,,
August,4.02,3.28,2.44,3.68,0.59,,2.18,2.51,0.73,3.69,,
September,1.71,2.00,0.74,1.66,2.19,,3.01,2.40,0.06,3.55,,
October,0.91,1.90,2.11,1.75,1.08,,1.58,1.91,1.40,3.57,,
November,3.40,2.28,1.26,3.65,1.08,,1.32,1.75,1.34,3.31,,
December,1.15,1.79,0.44,1.69,2.07,,1.84,2.32,2.55,2.28,,
Total,24.63,21.44,16.35,23.14,18.85,,19.32,25.98,15.42,26.87,,
Calc annual,24.63,21.44,16.35,23.14,18.85,0.00,19.32,25.98,15.42,26.87,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,0.00,,
