"BENMORE (YOUNGER BOTANIC GDN)",,,,,,,,,,,,
Grid ref,NS138854,Long,-4.989460,Lat,56.025214,,,,,,,
Station no,5433/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.12,10.28,7.14,10.87,6.14,7.01,14.07,11.42,3.45,7.31,,
February,5.66,4.46,5.43,8.87,6.43,2.71,7.74,5.49,3.90,9.50,,
March,5.95,8.54,3.33,7.29,3.01,5.05,10.72,1.99,6.57,3.88,,
April,5.62,3.68,5.08,4.85,6.18,3.02,3.52,3.94,8.52,9.63,,
May,2.64,2.80,4.10,6.27,6.57,5.54,3.89,5.70,2.81,4.45,,
June,2.48,5.15,1.97,6.43,6.76,5.40,3.65,3.78,4.81,4.52,,
July,6.21,5.32,10.28,6.81,1.26,8.65,7.79,5.60,9.34,8.40,,
August,6.63,9.36,8.16,7.89,1.98,7.71,8.01,8.61,2.56,5.31,,
September,6.74,5.93,13.03,13.96,9.70,6.72,6.36,7.37,2.67,4.57,,
October,3.24,10.25,6.63,16.23,6.67,7.27,10.69,8.71,9.57,5.46,,
November,12.98,4.34,18.86,15.41,4.98,5.88,3.39,3.20,9.06,9.44,,
December,16.88,11.01,9.73,17.05,14.57,15.04,10.09,9.91,15.14,10.46,,
Total,85.15,81.12,93.74,121.93,74.25,80.00,89.92,75.72,78.40,82.93,,
Calc annual,85.15,81.12,93.74,121.93,74.25,80.00,89.92,75.72,78.40,82.93,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
