"NUNEATON (HARTSHILL SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SP330951,Long,-1.514732,Lat,52.552749,,,,,,,
Station no,2488,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,2.12,0.82,0.89,1.64,3.75,1.07,2.19,2.78,4.80,,
February,2.67,0.63,1.25,2.43,2.09,0.39,2.38,3.12,0.10,1.78,,
March,3.10,2.34,1.68,2.16,3.18,0.85,2.07,1.73,1.73,1.45,,
April,1.69,2.01,1.75,0.75,0.86,0.76,0.17,0.87,2.89,1.27,,
May,2.93,2.37,1.50,2.25,3.84,0.64,1.21,1.67,0.48,1.39,,
June,1.26,1.62,2.60,2.96,2.66,3.40,1.18,4.78,0.75,4.43,,
July,0.38,0.43,2.61,2.87,0.58,2.66,3.87,5.90,1.14,3.02,,
August,4.50,3.24,2.46,3.74,0.36,4.18,3.73,1.81,1.06,2.34,,
September,1.43,1.01,1.73,1.31,1.77,1.78,4.37,2.89,0.09,4.31,,
October,0.64,3.44,2.92,3.29,1.40,1.26,0.94,2.43,2.34,5.57,,
November,5.38,1.84,1.15,5.32,2.07,0.58,1.73,2.06,3.08,3.18,,
December,1.84,2.25,0.90,2.34,1.84,2.88,2.41,2.81,3.76,3.03,,
Total,27.86,23.30,21.37,30.31,22.29,23.13,25.13,32.26,20.20,36.57,,
Calc annual,27.86,23.30,21.37,30.31,22.29,23.13,25.13,32.26,20.20,36.57,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,,
