"ROSEDALE NO. 18",,,,,,,,,,,,
Grid ref,NZ705007,Long,-0.915640,Lat,54.396900,,,,,,,
Station no,3465/8/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,3.46,1.77,2.50,2.46,5.70,2.67,4.90,3.53,,,
February,4.19,3.19,3.22,4.27,4.30,3.46,4.39,5.10,0.66,,,
March,4.27,3.76,0.61,4.86,3.55,1.32,2.33,4.23,2.00,,,
April,2.46,2.06,3.66,1.22,1.06,1.65,1.31,2.55,4.10,,,
May,5.69,1.88,4.95,4.86,2.86,1.11,1.57,3.30,1.30,,,
June,1.76,1.97,3.67,2.38,3.41,5.10,2.80,4.80,0.90,,,
July,2.36,2.36,3.76,2.66,1.65,4.42,4.41,4.20,3.10,,,
August,7.85,3.35,3.36,9.65,1.76,9.80,5.81,3.10,0.60,,,
September,2.45,6.66,2.66,2.57,1.86,3.10,4.90,3.10,0.80,,,
October,2.56,5.95,3.16,5.57,3.16,2.55,3.53,2.70,3.40,,,
November,6.35,4.57,3.06,7.55,3.46,3.00,3.82,1.60,5.80,,,
December,4.26,3.55,2.57,2.45,5.56,3.60,2.40,5.00,6.25,,,
Total,47.90,42.76,36.45,50.54,35.09,44.81,39.94,44.58,32.44,,,
Calc annual,47.90,42.76,36.45,50.54,35.09,44.81,39.94,44.58,32.44,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
