"MONTROSE (KINNABER W.W.)",,,,,,,,,,,,
Grid ref,NO713622,Long,-2.470912,Lat,56.750534,,,,,,,
Station no,5610,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.85,1.49,1.56,2.82,2.27,3.33,1.25,3.77,,
February,,,0.86,2.16,2.81,1.56,2.51,2.36,0.16,2.30,,
March,,,0.39,2.04,1.42,1.08,2.35,5.07,0.90,1.61,,
April,,,3.40,1.00,0.70,1.21,0.77,1.76,1.77,1.93,,
May,,,1.73,3.20,1.67,0.39,1.44,2.59,1.61,0.72,,
June,,,1.38,1.83,0.69,2.30,1.03,1.53,3.32,1.58,,
July,,2.14,3.38,2.07,0.63,3.44,4.26,5.64,2.54,2.79,,
August,,1.94,2.14,2.87,0.45,4.41,4.30,4.54,0.42,4.93,,
September,,0.88,2.44,2.31,2.06,3.90,2.28,2.03,0.68,3.25,,
October,,2.06,1.26,4.57,1.85,1.77,1.30,1.44,2.98,7.99,,
November,,2.01,2.51,4.03,1.54,0.98,1.25,0.72,4.67,4.42,,
December,,1.75,3.33,2.54,4.49,3.00,2.27,3.78,4.48,2.37,,
Total,,,23.67,30.11,19.87,26.86,26.03,34.79,24.78,37.66,,
Calc annual,0.00,10.78,23.67,30.11,19.87,26.86,26.03,34.79,24.78,37.66,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
