"SUTTON BRIDGE",,,,,,,,,,,,
Grid ref,TF476200,Long,0.185762,Lat,52.757451,,,,,,,
Station no,2525/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,1.88,1.29,1.54,2.32,4.00,1.25,3.23,3.09,3.48,,
February,2.48,0.64,1.48,2.18,2.69,1.79,3.26,2.92,0.17,1.57,,
March,3.47,2.29,1.09,2.08,1.85,0.78,2.00,1.41,1.97,1.71,,
April,3.50,1.24,2.04,0.41,0.82,1.23,0.35,0.89,1.39,0.43,,
May,2.58,2.39,1.86,3.53,2.56,1.05,1.44,2.70,0.45,0.58,,
June,1.02,1.27,4.15,2.49,1.85,2.62,2.78,4.49,1.04,2.70,,
July,0.84,0.34,1.65,2.52,0.27,3.07,2.49,3.46,3.19,2.79,,
August,3.67,1.87,2.03,3.81,1.05,5.00,2.42,2.74,1.11,3.84,,
September,1.82,2.84,0.96,2.41,1.25,1.44,3.53,2.49,0.09,1.71,,
October,1.28,1.69,2.36,2.85,2.12,1.26,1.24,1.12,1.63,4.16,,
November,3.13,2.99,1.54,4.06,0.82,0.98,1.63,1.30,1.24,2.99,,
December,1.46,1.91,0.95,2.09,1.41,1.59,2.41,2.33,3.51,3.35,,
Total,27.76,21.35,21.40,29.97,19.01,24.81,24.80,29.08,18.88,29.31,,
Calc annual,27.76,21.35,21.40,29.97,19.01,24.81,24.80,29.08,18.88,29.31,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
