"FRITTON HALL",,,,,,,,,,,,
Grid ref,TG479005,Long,1.654778,Lat,52.545860,,,,,,,
Station no,1385,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,2.52,1.28,2.17,1.96,4.07,1.54,2.14,,,,
February,3.43,1.13,1.59,2.24,2.29,2.62,2.65,,,,,
March,3.01,2.48,0.43,2.56,1.70,0.86,2.15,,,,,
April,3.81,1.19,2.72,0.39,0.45,0.90,0.63,,,,,
May,1.90,1.50,1.09,1.94,2.12,0.85,1.68,,,,,
June,1.57,1.34,1.62,2.90,3.08,1.84,2.89,,,,,
July,2.99,1.47,3.19,2.61,0.31,2.58,3.09,,,,,
August,2.61,4.88,2.46,4.87,1.21,3.63,2.71,,,,,
September,2.39,3.42,2.52,1.64,1.31,1.47,3.29,,,,,
October,0.86,2.39,2.36,2.88,4.68,4.27,1.39,,,,,
November,3.96,4.14,1.49,4.91,0.87,1.42,2.26,,,,,
December,1.82,3.39,1.20,2.12,1.70,1.39,2.29,,,,,
Total,30.64,29.85,21.95,31.23,21.68,25.90,26.57,,,,,
Calc annual,30.64,29.85,21.95,31.23,21.68,25.90,26.57,2.14,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
