"SILCHESTER HOUSE",,,,,,,,,,,,
Grid ref,SU627617,Long,-1.101047,Lat,51.350927,,,,,,,
Station no,767/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,2.02,0.84,1.32,3.49,3.71,2.04,3.24,3.11,3.07,,
February,5.34,0.76,1.30,2.69,1.44,0.24,3.33,2.50,0.16,3.69,,
March,3.54,2.31,0.38,2.59,1.05,0.57,1.47,1.17,3.01,1.26,,
April,2.74,1.52,2.31,0.29,0.26,1.20,0.18,1.12,2.41,0.64,,
May,2.80,3.07,1.86,2.20,3.53,0.36,1.55,1.60,1.41,1.83,,
June,0.53,1.47,1.46,3.14,2.63,2.04,1.41,3.37,1.94,2.04,,
July,0.88,0.40,3.38,2.46,0.18,3.26,4.08,2.03,2.51,2.21,,
August,3.28,2.22,2.25,3.71,0.52,3.89,1.56,4.19,1.99,2.99,,
September,3.39,2.71,2.04,2.38,1.15,3.12,3.23,2.35,0.00,3.50,,
October,0.75,4.01,2.32,2.31,3.14,1.50,2.23,2.63,2.55,7.83,,
November,7.24,3.39,1.19,5.65,2.09,0.72,1.62,2.29,2.36,3.61,,
December,2.20,2.23,0.73,2.40,3.47,4.01,2.73,2.90,5.22,3.66,,
Total,35.79,26.11,20.06,31.14,22.95,24.62,25.43,29.39,26.67,36.33,,
Calc annual,35.79,26.11,20.06,31.14,22.95,24.62,25.43,29.39,26.67,36.33,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
