"SALISBURY (DINTON)",,,,,,,,,,,,
Grid ref,SU013316,Long,-1.982818,Lat,51.083717,,,,,,,
Station no,1511/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,2.20,0.80,1.79,3.61,5.05,2.03,2.97,4.68,3.99,,
February,6.33,0.65,1.63,2.56,1.83,0.26,3.22,2.89,0.30,3.11,,
March,3.93,3.26,0.49,3.52,1.69,0.96,2.00,1.81,4.21,2.32,,
April,3.75,2.10,2.75,0.28,0.39,1.17,0.12,0.75,2.19,1.51,,
May,2.91,3.24,1.46,2.38,3.67,0.35,2.53,2.34,2.25,1.69,,
June,0.80,1.45,1.70,3.17,3.21,2.23,2.30,4.26,0.95,3.18,,
July,0.63,0.97,2.85,2.32,0.61,2.05,3.79,1.93,1.88,3.51,,
August,5.69,4.86,2.35,2.61,0.66,4.07,2.34,2.70,1.31,3.92,,
September,3.21,3.22,3.26,2.32,1.20,3.22,3.40,4.11,0.08,4.82,,
October,0.93,4.51,4.38,2.99,2.92,1.89,2.36,3.01,2.58,10.46,,
November,9.28,3.75,2.17,6.78,3.20,0.60,2.89,1.90,3.96,4.99,,
December,3.24,2.61,0.66,3.30,4.94,4.48,2.75,3.71,8.15,4.60,,
Total,44.19,32.82,24.50,34.02,27.93,26.33,29.73,32.38,32.54,48.10,,
Calc annual,44.19,32.82,24.50,34.02,27.93,26.33,29.73,32.38,32.54,48.10,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
