"DUNTRUNE CASTLE",,,,,,,,,,,,
Grid ref,NR795960,Long,-5.547496,Lat,56.105717,,,,,,,
Station no,5413/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.12,3.71,,
February,,,,,,,,,1.30,4.24,,
March,,,,,,,,,4.22,1.83,,
April,,,,,,,,,3.80,4.78,,
May,,,,,,,,,1.39,2.78,,
June,,,,,,,,3.62,3.07,2.40,,
July,,,,,,,,5.23,7.18,4.47,,
August,,,,,,,,5.49,1.50,4.06,,
September,,,,,,,,4.61,2.44,3.55,,
October,,,,,,,,5.84,7.25,2.87,,
November,,,,,,,,2.80,6.42,7.33,,
December,,,,,,,,6.01,8.32,8.39,,
Total,,,,,,,,,48.01,50.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,48.01,50.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
