"KINTBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SU394672,Long,-1.434992,Lat,51.402468,,,,,,,
Station no,796/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.98,1.80,3.13,4.49,2.29,3.54,5.31,,,
February,,,1.57,2.94,1.68,0.31,4.25,3.34,0.37,,,
March,,,0.38,3.01,1.35,1.16,1.99,1.43,4.30,,,
April,,,2.76,0.32,0.45,1.63,0.45,0.97,3.13,,,
May,,,2.08,2.34,4.23,0.40,2.33,2.41,0.61,,,
June,,,1.79,4.32,2.81,2.03,1.73,2.77,1.33,,,
July,,,3.08,2.76,0.35,3.29,3.48,2.52,1.69,,,
August,,,2.21,2.56,0.33,4.50,2.70,4.09,1.39,,,
September,,,2.85,2.48,1.35,3.05,3.25,5.03,0.07,,,
October,,,3.79,2.12,3.10,2.16,2.38,3.20,2.25,,,
November,,,2.00,7.16,2.14,0.88,2.30,2.12,3.12,,,
December,,,0.77,3.32,3.50,5.31,3.46,3.50,7.25,,,
Total,,,24.26,35.13,24.42,29.21,30.61,34.92,30.82,,,
Calc annual,0.00,0.00,24.26,35.13,24.42,29.21,30.61,34.92,30.82,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
