"LAGGAN OF DEE - NEW SITE",,,,,,,,,,,,
Grid ref,NX573746,Long,-4.234967,Lat,55.045351,,,,,,,
Station no,1137852,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,8.00,,
February,,,,,,,,,,9.78,,
March,,,,,,,,,,2.53,,
April,,,,,,,,,,7.38,,
May,,,,,,,,,,3.22,,
June,,,,,,,,,,3.90,,
July,,,,,,,,,,7.05,,
August,,,,,,,,,,5.34,,
September,,,,,,,,,,5.03,,
October,,,,,,,,,,6.86,,
November,,,,,,,,,,13.55,,
December,,,,,,,,,,7.78,,
Total,,,,,,,,,,80.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
