"WELWYN (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL233157,Long,-0.212251,Lat,51.826322,,,,,,,
Station no,959/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,1.74,1.05,1.11,2.08,4.06,1.66,,2.43,2.34,,
February,4.36,0.60,1.96,2.06,1.96,0.60,2.85,,0.09,1.53,,
March,3.35,2.90,0.49,2.23,1.18,0.77,1.16,,2.04,1.34,,
April,2.99,1.68,2.48,0.25,0.38,1.16,0.10,,2.38,0.37,,
May,3.07,1.59,1.73,1.94,3.93,0.59,1.10,,0.62,1.16,,
June,1.30,1.00,2.06,2.87,2.01,3.13,0.91,,1.11,1.81,,
July,0.69,1.17,3.94,3.00,0.09,2.40,3.21,,3.70,2.61,,
August,4.31,4.61,1.87,3.00,1.00,5.35,1.60,,1.44,2.47,,
September,3.24,3.44,1.88,1.33,1.38,2.45,2.30,,0.10,3.60,,
October,0.88,2.63,3.10,2.02,3.38,1.90,2.21,,2.09,5.42,,
November,4.96,4.04,1.35,4.34,1.96,0.77,1.93,,2.17,3.89,,
December,1.91,2.39,0.50,1.58,1.95,3.59,1.93,,3.98,3.22,,
Total,34.50,27.79,22.41,25.73,21.30,26.77,20.96,,22.15,29.76,,
Calc annual,34.50,27.79,22.41,25.73,21.30,26.77,20.96,0.00,22.15,29.76,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,-0.00,0.00,,
