"DURHAM (HOUGHALL) (264)",,,,,,,,,,,,
Grid ref,NZ277405,Long,-1.571088,Lat,54.758682,,,,,,,
Station no,3538,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.25,2.03,0.57,2.41,2.05,3.49,1.79,1.87,2.42,4.43,,
February,2.94,0.43,2.51,2.30,2.69,2.34,2.43,3.67,0.60,2.51,,
March,3.60,1.37,0.10,1.56,1.86,0.58,1.04,2.37,0.65,1.94,,
April,1.27,1.66,2.06,0.46,0.63,0.90,0.31,1.82,1.62,0.80,,
May,4.32,1.13,1.46,4.68,1.65,0.54,1.65,3.48,0.52,2.04,,
June,1.03,1.28,2.74,1.47,2.35,3.61,1.40,2.97,2.50,0.33,,
July,1.66,0.61,2.51,1.49,0.99,2.07,3.18,1.95,1.30,3.73,,
August,4.24,2.26,4.74,5.12,0.77,7.52,3.04,2.66,0.28,2.71,,
September,1.07,4.73,1.12,1.69,0.93,2.01,3.23,2.07,0.74,2.33,,
October,1.79,3.08,1.69,4.31,1.47,1.36,1.55,1.45,1.17,7.48,,
November,5.70,3.21,1.12,4.04,1.68,0.67,1.49,0.51,3.83,2.86,,
December,2.49,2.58,0.77,2.33,2.76,2.07,1.64,3.50,3.60,1.92,,
Total,31.36,24.37,21.39,31.86,19.83,27.16,22.75,28.32,19.23,33.08,,
Calc annual,31.36,24.37,21.39,31.86,19.83,27.16,22.75,28.32,19.23,33.08,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
