"DONCASTER (SANDALL WORKS)",,,,,,,,,,,,
Grid ref,SE601060,Long,-1.094437,Lat,53.547206,,,,,,,
Station no,3171/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.54,1.65,0.35,1.21,1.50,3.36,1.21,2.71,1.98,4.45,,
February,2.29,0.41,1.57,1.93,1.66,0.95,1.75,3.47,0.07,1.68,,
March,-999.00,1.94,0.59,1.43,2.31,1.14,1.06,1.77,0.83,1.44,,
April,0.59,0.67,1.84,0.26,0.74,1.79,0.21,0.26,2.64,0.68,,
May,4.00,1.50,1.51,3.70,3.13,0.23,1.07,1.89,0.40,0.71,,
June,0.95,1.83,1.25,1.85,2.34,3.77,1.55,4.22,1.19,0.43,,
July,1.27,1.30,2.73,1.62,0.67,3.69,5.07,4.49,1.60,2.38,,
August,4.06,1.00,2.59,4.47,0.63,5.95,4.28,1.98,0.28,3.33,,
September,1.23,2.08,1.59,1.34,0.70,1.66,3.37,1.45,,2.63,,
October,1.20,2.62,1.88,2.70,1.45,1.19,1.07,1.27,1.65,5.82,,
November,5.02,1.60,1.20,4.21,1.77,0.61,2.25,0.80,2.80,3.42,,
December,1.46,1.57,1.04,2.20,2.33,1.83,1.90,2.94,2.60,1.90,,
Total,25.88,18.17,18.14,26.92,19.23,26.17,24.79,27.25,16.04,28.87,,
Calc annual,23.61,18.17,18.14,26.92,19.23,26.17,24.79,27.25,16.04,28.87,,
Difference,2.27,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
