"BIELDSIDE (CAIRNLEE HOUSE)",,,,,,,,,,,,
Grid ref,NJ882028,Long,-2.196480,Lat,57.115992,,,,,,,
Station no,5641/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.12,,
February,,,,,,,,,,3.29,,
March,,,,,,,,,,1.87,,
April,,,,,,,,,,1.99,,
May,,,,,,,,,1.93,0.98,,
June,,,,,,,,,2.51,1.48,,
July,,,,,,,,,1.47,4.03,,
August,,,,,,,,,0.47,4.45,,
September,,,,,,,,,0.70,2.90,,
October,,,,,,,,,3.85,8.77,,
November,,,,,,,,,4.64,5.87,,
December,,,,,,,,,4.43,2.60,,
Total,,,,,,,,,,42.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,42.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
