"BALCOMBE (LULLINGS)",,,,,,,,,,,,
Grid ref,TQ328303,Long,-0.106492,Lat,51.056694,,,,,,,
Station no,521,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.39,3.30,1.49,1.88,4.21,5.47,3.49,4.26,3.30,3.81,,
February,8.15,0.85,1.83,3.12,2.16,0.71,5.89,2.73,0.05,2.67,,
March,4.77,3.73,0.37,4.21,1.45,1.22,1.87,2.30,2.28,2.70,,
April,3.50,2.81,3.41,0.42,0.19,1.93,0.15,1.41,3.04,1.11,,
May,3.12,2.03,2.66,2.10,5.37,0.60,1.63,3.02,0.28,1.70,,
June,2.03,1.67,2.62,4.71,2.26,3.45,2.32,3.61,1.17,2.38,,
July,3.08,0.86,4.55,4.38,1.24,3.55,3.90,2.35,2.02,4.33,,
August,7.16,3.96,2.61,3.52,0.92,4.18,3.19,4.94,1.48,5.21,,
September,3.78,3.72,5.05,3.38,2.76,4.44,4.22,4.94,0.19,4.05,,
October,1.58,3.83,4.48,3.01,4.95,2.56,1.92,3.90,4.53,7.38,,
November,6.80,4.67,1.97,6.84,1.93,1.20,4.88,3.00,4.51,7.24,,
December,3.85,3.34,1.13,2.88,4.23,5.34,3.15,5.15,8.43,4.70,,
Total,52.21,34.77,32.17,40.45,31.67,34.65,36.61,41.61,31.28,47.28,,
Calc annual,52.21,34.77,32.17,40.45,31.67,34.65,36.61,41.61,31.28,47.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
