"GAIRLOCH (A' GHARBH - CHOIRE)",,,,,,,,,,,,
Grid ref,NG873701,Long,-5.568259,Lat,57.670351,,,,,,,
Station no,5784/5/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,9.42,5.09,,
February,,,,,,,,,5.15,6.85,,
March,,,,,,,,,7.32,2.96,,
April,,,,,,,,,7.93,7.10,,
May,,,,,,,,,3.35,5.29,,
June,,,,,,,,,7.33,8.47,,
July,,,,,,,,,10.74,6.59,,
August,,,,,,,,,7.89,5.57,,
September,,,,,,,,,5.63,5.83,,
October,,,,,,,,,13.57,3.87,,
November,,,,,,,,,10.52,9.38,,
December,,,,,,,,-999.00,15.22,9.59,,
Total,,108.55,93.00,101.00,72.20,83.84,65.90,73.48,104.07,76.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.07,76.59,,
Difference,NaN,108.55,93.00,101.00,72.20,83.84,65.90,73.48,-0.00,0.00,,
