"DALRY (CATBURN)",,,,,,,,,,,,
Grid ref,NS255559,Long,-4.782944,Lat,55.764881,,,,,,,
Station no,5250/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.65,8.75,4.20,7.20,4.65,5.30,7.90,7.90,2.70,4.80,,
February,4.35,3.35,4.30,6.40,3.50,2.50,4.80,5.00,3.50,6.10,,
March,4.65,5.75,1.50,4.70,2.10,4.05,8.30,2.15,5.30,2.75,,
April,3.60,3.05,3.95,3.60,7.50,2.00,3.40,2.65,4.20,7.50,,
May,2.40,1.85,4.10,4.00,5.60,4.45,2.55,5.30,2.60,3.40,,
June,2.55,4.95,1.65,6.50,6.00,4.40,3.30,2.95,4.25,4.90,,
July,5.95,5.65,7.30,6.25,1.05,9.00,8.15,5.70,7.85,7.15,,
August,5.65,6.20,6.50,8.70,1.45,7.10,6.80,6.50,1.95,4.70,,
September,6.75,5.35,9.50,9.35,7.50,6.90,4.80,5.85,2.55,4.95,,
October,1.75,7.25,4.60,12.30,4.85,4.00,9.50,6.45,8.81,3.55,,
November,8.60,3.40,12.25,11.10,4.00,3.75,3.65,4.25,7.04,9.90,,
December,10.85,7.20,7.30,9.20,10.76,8.65,7.05,8.10,11.60,9.50,,
Total,64.75,62.75,67.15,89.30,58.96,62.10,70.20,62.80,62.35,69.20,,
Calc annual,64.75,62.75,67.15,89.30,58.96,62.10,70.20,62.80,62.35,69.20,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
