"RUSKINGTON",,,,,,,,,,,,
Grid ref,TF081506,Long,-0.389104,Lat,53.041754,,,,,,,
Station no,2543/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,1.29,0.63,0.71,2.00,3.65,1.46,1.67,2.11,3.72,,
February,2.64,0.25,1.50,2.35,2.27,0.65,2.57,2.85,0.26,1.74,,
March,2.79,2.68,0.67,1.28,1.91,0.65,1.58,1.69,1.98,1.16,,
April,1.79,0.73,1.89,0.30,0.70,1.27,0.18,0.40,1.53,0.40,,
May,3.08,1.66,2.25,2.47,2.15,0.40,1.20,1.65,0.51,0.87,,
June,0.94,2.57,2.25,2.24,2.95,3.18,1.70,4.25,0.55,0.59,,
July,0.73,0.31,1.58,1.39,2.30,2.76,2.93,5.30,1.96,2.89,,
August,3.93,2.20,1.52,2.79,0.84,3.74,1.76,3.30,1.52,3.20,,
September,0.96,2.26,0.74,1.74,0.95,1.49,3.56,0.93,0.06,2.83,,
October,1.31,1.86,1.85,2.15,1.12,0.98,0.97,1.34,1.04,5.26,,
November,4.21,1.89,1.32,3.09,1.08,0.54,1.45,0.79,1.80,2.80,,
December,1.22,1.19,0.65,1.93,1.70,1.20,1.33,2.75,2.36,3.29,,
Total,26.61,18.89,16.85,22.44,19.97,20.50,20.69,26.92,15.68,28.75,,
Calc annual,26.61,18.89,16.85,22.44,19.97,20.51,20.69,26.92,15.68,28.75,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,,
