"BAMPTON (ATKINSONS GRAIN)",,,,,,,,,,,,
Grid ref,NY456164,Long,-2.842322,Lat,54.539927,,,,,,,
Station no,3678/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.46,7.00,3.33,7.00,8.00,5.60,17.50,11.65,7.35,11.15,,
February,9.00,2.55,2.63,7.20,3.65,1.45,9.32,8.88,2.38,12.40,,
March,5.00,5.20,1.38,6.40,2.75,3.00,7.73,2.05,7.15,2.75,,
April,7.00,4.85,5.90,1.22,2.30,1.85,1.50,2.90,8.28,7.60,,
May,2.20,3.93,4.67,5.60,7.80,3.10,4.25,6.96,1.55,3.35,,
June,2.20,4.90,3.60,4.10,4.40,4.55,1.42,6.49,6.25,4.15,,
July,4.20,3.55,8.20,3.76,2.75,6.85,6.23,6.10,5.15,6.54,,
August,9.00,8.50,6.20,6.59,2.70,12.30,7.65,6.00,1.75,4.31,,
September,15.00,8.10,10.50,12.20,4.50,6.60,8.00,10.15,1.28,4.85,,
October,1.15,10.60,5.30,18.50,5.60,5.60,10.10,8.36,9.34,6.44,,
November,17.10,4.60,12.70,18.60,5.10,2.50,3.32,1.14,10.15,20.55,,
December,18.00,6.10,5.40,11.25,11.70,11.35,9.84,7.05,17.00,10.20,,
Total,96.31,69.88,69.81,102.42,61.25,64.75,86.86,77.73,77.63,94.29,,
Calc annual,96.31,69.88,69.81,102.42,61.25,64.75,86.86,77.73,77.63,94.29,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
