"DORNOCH (OSPISDALE)",,,,,,,,,,,,
Grid ref,NH714897,Long,-4.170110,Lat,57.878177,,,,,,,
Station no,5798/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,3.29,2.23,2.30,1.92,3.25,3.15,3.60,5.98,4.33,,
February,1.92,2.24,1.87,2.15,3.19,1.65,1.85,3.76,0.89,2.86,,
March,3.07,2.00,1.16,1.86,1.55,1.42,2.61,1.61,1.68,0.85,,
April,4.59,0.72,1.88,1.30,1.42,1.80,1.11,1.79,3.15,2.45,,
May,0.87,1.61,2.49,3.96,2.69,1.53,1.57,4.48,1.50,0.93,,
June,1.30,1.80,2.30,2.87,1.45,2.57,3.18,2.36,1.18,4.11,,
July,2.56,1.39,3.94,3.06,0.40,4.58,6.57,1.80,2.91,2.21,,
August,4.52,4.05,2.03,2.46,0.63,4.76,4.08,3.19,1.61,5.18,,
September,1.08,1.47,2.30,2.47,2.38,2.44,1.62,1.61,1.46,2.78,,
October,1.25,2.83,1.32,6.17,4.30,3.64,1.92,2.58,3.81,4.27,,
November,5.69,3.30,2.56,3.09,1.44,2.96,2.01,0.90,3.78,3.26,,
December,3.98,2.80,2.47,6.61,5.99,2.23,6.02,3.36,1.78,2.35,,
Total,33.86,27.50,26.55,38.30,27.36,32.83,35.69,31.04,29.73,35.58,,
Calc annual,33.86,27.50,26.55,38.30,27.36,32.83,35.69,31.04,29.73,35.58,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
