"STOKE NEWINGTON, NEW RIVER RESERVOIR (LORDSHIP ROAD), LONDON ",,,,,,,,,,,,
Grid ref,TQ325874,Long,-0.089573,Lat,51.569910,,,,,,,
Station no,50,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.71,1.72,0.87,0.95,2.24,3.30,1.35,2.19,1.96,1.66,,
February,5.03,0.86,1.53,2.27,1.51,0.30,2.89,2.02,0.04,2.19,,
March,3.26,2.60,0.40,2.36,1.08,0.84,0.88,0.96,1.99,1.34,,
April,2.70,1.17,2.46,0.38,0.39,0.99,0.22,1.47,1.83,0.54,,
May,1.86,0.94,1.14,1.78,4.25,0.49,1.15,2.36,0.62,1.71,,
June,1.26,1.60,1.30,3.05,2.38,2.64,0.68,4.64,0.95,1.37,,
July,1.53,0.62,4.44,2.80,0.90,5.05,4.01,1.84,1.15,3.24,,
August,3.94,2.70,1.93,3.38,1.38,5.48,1.98,3.16,2.76,2.29,,
September,2.91,2.99,1.81,1.77,2.05,2.13,2.33,3.65,0.05,4.59,,
October,0.87,2.61,3.07,2.27,2.55,2.10,1.81,2.44,1.75,5.04,,
November,4.91,3.27,0.83,3.34,0.56,0.31,2.20,1.78,2.42,3.70,,
December,1.68,2.32,0.59,1.75,1.66,2.64,1.42,2.85,3.37,2.21,,
Total,32.66,23.40,20.37,26.10,20.95,26.27,20.92,29.36,18.89,29.88,,
Calc annual,32.66,23.40,20.37,26.10,20.95,26.27,20.92,29.36,18.89,29.88,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
