"BRIGHTLING (BLEAK HOUSE)",,,,,,,,,,,,
Grid ref,TQ683211,Long,0.395359,Lat,50.964741,,,,,,,
Station no,558/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.75,3.70,1.37,1.84,5.78,5.75,3.33,5.53,3.64,3.19,,
February,7.29,1.26,1.53,3.13,2.22,0.86,5.77,3.41,0.05,3.46,,
March,5.20,3.42,0.30,4.28,1.55,0.98,2.20,2.09,2.63,2.93,,
April,2.34,1.98,2.41,0.55,0.34,1.27,0.32,1.36,2.87,1.37,,
May,2.22,1.67,1.33,2.27,5.41,0.35,1.09,2.83,0.97,2.30,,
June,1.76,1.12,2.09,3.45,2.16,3.20,0.78,4.40,0.76,2.10,,
July,2.28,0.67,5.25,5.68,2.21,3.96,5.20,3.30,2.44,4.24,,
August,5.75,4.54,2.75,3.87,1.64,3.65,3.42,4.36,1.18,5.46,,
September,4.50,4.60,5.19,3.68,2.50,4.48,4.65,4.55,0.17,2.84,,
October,3.03,4.89,3.11,3.38,4.28,1.72,2.23,4.86,4.14,10.63,,
November,6.72,4.91,2.56,7.67,1.92,0.88,3.30,2.48,6.02,8.74,,
December,3.39,4.70,0.97,2.29,4.58,5.68,3.12,5.14,10.16,4.60,,
Total,49.23,37.46,28.86,42.09,34.59,32.78,35.41,44.31,35.03,51.86,,
Calc annual,49.23,37.46,28.86,42.09,34.59,32.78,35.41,44.31,35.03,51.86,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
