"FELIXKIRK (THIRLBY)",,,,,,,,,,,,
Grid ref,SE490840,Long,-1.249488,Lat,54.249346,,,,,,,
Station no,3430,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,1.84,0.95,2.20,1.65,4.38,1.50,2.76,2.65,4.97,,
February,3.14,0.74,1.85,2.42,2.39,2.20,2.54,3.87,0.60,2.38,,
March,3.10,1.92,0.02,1.79,2.00,0.60,1.51,2.75,1.21,1.10,,
April,1.30,1.42,2.72,0.23,1.49,1.32,0.56,1.03,2.32,0.78,,
May,4.72,1.73,2.09,2.85,2.60,0.57,1.50,3.41,0.41,0.97,,
June,1.31,1.80,3.38,3.00,2.58,4.13,2.15,2.78,1.90,0.53,,
July,2.93,1.67,3.23,2.95,1.26,4.92,4.35,3.03,1.33,5.81,,
August,5.65,2.23,3.74,5.55,0.83,8.12,5.30,4.44,0.21,2.93,,
September,2.29,4.03,1.69,2.02,1.60,2.40,3.58,3.03,0.26,3.07,,
October,1.57,3.64,1.93,4.19,1.64,1.57,2.09,1.88,1.62,7.32,,
November,6.09,1.93,2.61,5.17,2.54,1.37,1.68,0.91,4.47,3.94,,
December,2.63,1.71,1.31,2.50,2.67,2.31,2.24,3.21,3.76,3.24,,
Total,36.72,24.66,25.52,34.87,23.25,33.89,29.00,33.10,20.74,37.04,,
Calc annual,36.72,24.66,25.52,34.87,23.25,33.89,29.00,33.10,20.74,37.04,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
