"ALLT A' CHOIN",,,,,,,,,,,,
Grid ref,NN414145,Long,-4.564467,Lat,56.296335,,,,,,,
Station no,5524,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.60,6.30,6.80,8.90,5.30,5.90,14.30,9.80,3.90,5.52,,
February,6.70,3.80,5.60,7.60,4.00,2.60,7.80,4.40,4.50,6.70,,
March,5.60,8.90,3.30,6.50,2.50,5.00,9.20,2.30,8.20,3.60,,
April,8.20,3.60,5.80,4.20,6.10,3.00,4.20,4.10,6.60,9.58,,
May,2.10,2.40,6.10,5.50,6.20,6.30,4.30,7.20,2.80,4.60,,
June,3.30,5.80,3.10,6.00,4.80,5.40,3.30,5.00,5.20,3.50,,
July,6.80,4.50,10.20,4.90,1.40,6.70,7.60,6.30,7.80,6.30,,
August,8.50,7.30,5.90,8.10,1.90,6.90,7.60,8.25,4.10,5.35,,
September,7.00,5.20,11.90,11.60,9.10,9.70,5.30,9.00,2.10,,,
October,3.70,9.70,7.90,15.60,8.90,7.00,10.20,8.10,9.90,,,
November,13.80,3.20,15.70,14.90,4.90,4.80,4.20,3.30,10.30,,,
December,13.30,8.80,10.60,17.20,14.60,15.30,14.80,11.60,16.70,,,
Total,88.60,69.50,92.90,111.00,69.70,78.60,92.80,79.35,82.10,,,
Calc annual,88.60,69.50,92.90,111.00,69.70,78.60,92.80,79.35,82.10,45.15,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
