"STRATH FARRAR (DEANIE LODGE)",,,,,,,,,,,,
Grid ref,NH320398,Long,-4.798952,Lat,57.417418,,,,,,,
Station no,5793/91,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,3.59,,,,,
August,,,,,,,9.06,,,,,
September,,,,,,,3.30,,,,,
October,,,,,,,4.18,,,,,
November,,,,,,,2.34,,,,,
December,,,,,,,5.44,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.91,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
