"ENNISKILLEN (PORTORA ROYAL SCHOOL)",,,,,,,,,,,,
Grid ref,NV326100,Long,-7.657097,Lat,54.352657,,,,,,,
Station no,6187,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.47,,,,,,,,,,,
February,3.60,1.63,,,,,,-999.00,-999.00,,,
March,3.52,,,,,,,-999.00,,,,
April,1.74,,,,,,,,,,,
May,2.09,1.81,1.88,,,,,-999.00,-999.00,2.57,,
June,2.53,1.45,1.73,,,,,-999.00,-999.00,4.76,,
July,,1.36,4.47,,,,,,,5.95,,
August,,4.01,,,,,,,,5.34,,
September,,1.87,,,,,,,,3.09,,
October,1.56,4.79,2.71,,,,,-999.00,,2.60,,
November,5.09,2.94,5.03,,,,-999.00,-999.00,,4.74,,
December,,,,,,,-999.00,,,4.12,,
Total,,,,,,,,,,,,
Calc annual,24.60,19.86,15.82,0.00,0.00,0.00,0.00,0.00,0.00,33.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
