"DUTHIL ROAD",,,,,,,,,,,,
Grid ref,NH944335,Long,-3.757966,Lat,57.379647,,,,,,,
Station no,5682/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.20,3.81,,
February,,,,,,,,,0.90,2.69,,
March,,,,,,,,,0.76,1.24,,
April,,,,,,,,,3.05,2.59,,
May,,,,,,,,3.53,1.09,0.98,,
June,,,,,,,,2.78,3.56,2.60,,
July,,,,,,,,4.41,2.75,2.90,,
August,,,,,,,,4.12,0.71,7.84,,
September,,,,,,,,1.67,0.72,3.05,,
October,,,,,,,,2.27,4.10,4.48,,
November,,,,,,,,1.15,3.74,1.87,,
December,,,,,,,,3.21,1.78,1.95,,
Total,,,,,,,,,28.36,36.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.14,28.36,36.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
