"MOSTYN",,,,,,,,,,,,
Grid ref,SJ159808,Long,-3.263891,Lat,53.317424,,,,,,,
Station no,4280/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.43,1.15,1.85,1.73,2.97,1.63,3.95,4.16,5.01,,
February,,1.45,1.83,2.69,2.24,0.83,1.96,5.45,0.22,2.32,,
March,,1.28,1.30,2.11,2.93,1.81,1.45,1.73,1.03,1.58,,
April,,1.47,2.51,1.03,1.58,1.56,0.39,0.28,3.42,1.52,,
May,,2.21,3.27,2.70,2.70,1.02,1.88,2.43,1.94,2.22,,
June,,1.76,2.00,4.05,3.41,2.20,1.26,4.12,2.76,0.65,,
July,,1.34,1.95,3.83,0.49,5.32,5.21,3.36,2.60,2.32,,
August,,1.56,2.71,3.56,1.03,9.73,4.55,3.46,1.08,3.20,,
September,,3.87,3.39,2.31,2.08,1.84,6.67,4.53,0.38,3.64,,
October,,4.00,1.68,5.46,2.21,2.21,2.14,2.67,4.17,8.89,,
November,,2.29,3.29,6.19,1.02,1.36,1.51,2.03,3.61,4.93,,
December,,3.83,0.88,3.20,3.15,2.36,2.73,2.37,6.26,2.77,,
Total,,28.49,25.96,38.98,24.57,33.21,31.38,36.38,31.63,39.05,,
Calc annual,0.00,28.49,25.96,38.98,24.57,33.21,31.38,36.38,31.63,39.05,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
