"CRAIBSTONE (SOUTH MEETHILL FIELD)",,,,,,,,,,,,
Grid ref,NJ873107,Long,-2.211747,Lat,57.186933,,,,,,,
Station no,5646,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.29,2.90,,,,,,,,,,
February,3.79,1.70,,,,,,,,,,
March,3.11,3.70,,,,,,,,,,
April,2.70,1.48,,,,,,,,,,
May,1.47,2.58,,,,,,,,,,
June,2.44,3.07,,,,,,,,,,
July,5.83,2.14,,,,,,,,,,
August,3.86,4.55,,,,,,,,,,
September,1.24,2.19,,,,,,,,,,
October,0.94,2.77,,,,,,,,,,
November,8.58,3.77,,,,,,,,,,
December,2.39,2.81,,,,,,,,,,
Total,40.64,33.66,,,,,,,,,,
Calc annual,40.64,33.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
