"WAREHAM (TRIGON)",,,,,,,,,,,,
Grid ref,SY886889,Long,-2.162783,Lat,50.699628,,,,,,,
Station no,1572,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.36,2.08,0.85,1.87,3.92,5.54,2.76,4.43,4.90,3.75,,
February,6.26,0.67,1.71,3.17,2.43,0.14,4.89,2.86,0.30,3.46,,
March,3.82,2.38,0.51,4.32,1.70,0.84,3.07,1.71,3.61,2.14,,
April,2.80,1.71,2.37,0.08,0.59,1.78,0.21,0.42,2.77,2.24,,
May,2.57,2.52,2.74,1.56,3.88,0.76,2.07,2.54,0.86,1.91,,
June,0.17,0.67,2.17,2.64,2.23,1.93,2.40,3.55,1.19,1.75,,
July,1.30,0.58,2.59,2.93,1.22,3.48,3.50,2.11,2.25,3.84,,
August,4.58,2.56,1.86,2.83,0.62,3.55,2.63,3.56,2.04,4.58,,
September,4.13,4.64,2.92,3.52,1.71,5.46,3.04,5.10,0.15,5.58,,
October,1.02,5.06,3.61,2.99,5.73,1.78,2.76,3.36,3.52,9.60,,
November,8.88,3.95,2.07,6.29,3.66,1.04,2.37,2.89,3.99,6.46,,
December,3.04,3.08,0.75,3.93,5.39,6.49,3.02,5.12,9.01,3.86,,
Total,41.93,29.90,24.15,36.13,33.08,32.79,32.72,37.65,34.59,49.17,,
Calc annual,41.93,29.90,24.15,36.13,33.08,32.79,32.72,37.65,34.59,49.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
