"SWANSEA WW (CRAY RESERVOIR) NO. 1",,,,,,,,,,,,
Grid ref,SN881218,Long,-3.627187,Lat,51.883495,,,,,,,
Station no,4189,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.60,7.18,2.43,4.79,7.75,11.42,16.15,8.15,10.15,10.85,,
February,8.17,1.95,3.54,10.10,3.95,1.02,10.79,11.88,0.78,10.81,,
March,7.25,6.07,5.62,7.30,5.56,4.78,10.86,1.74,9.19,4.05,,
April,5.18,5.57,6.35,1.76,6.32,2.74,0.73,2.28,7.57,6.94,,
May,3.86,6.17,4.40,6.10,8.52,2.74,5.19,8.17,2.48,2.73,,
June,2.47,5.14,3.09,7.57,9.70,5.77,1.78,4.58,6.11,3.97,,
July,1.91,2.63,6.79,6.43,1.58,5.91,7.58,6.01,6.74,8.12,,
August,9.19,9.00,4.76,9.66,2.41,8.55,7.48,5.16,1.50,5.98,,
September,6.66,4.73,7.37,10.64,4.31,9.08,13.78,13.06,0.59,6.82,,
October,2.13,7.65,5.40,18.76,4.84,4.39,8.03,7.51,9.07,10.12,,
November,13.52,5.53,7.50,18.59,6.88,2.54,4.61,3.67,14.21,18.11,,
December,9.22,6.21,2.76,9.98,12.35,10.96,7.82,8.25,17.57,11.18,,
Total,79.16,67.83,60.01,111.68,74.17,69.90,94.80,80.46,85.96,99.68,,
Calc annual,79.16,67.83,60.01,111.68,74.17,69.90,94.80,80.46,85.96,99.68,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
