"HAYFIELD (UPPER SETT)",,,,,,,,,,,,
Grid ref,SK074855,Long,-1.890257,Lat,53.366318,,,,,,,
Station no,2643/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.01,5.80,3.30,5.00,4.00,7.57,3.55,5.40,4.45,8.88,,
February,4.28,4.00,3.20,5.55,3.80,2.52,3.50,8.90,0.85,5.10,,
March,7.10,2.85,3.40,3.85,4.21,2.34,4.45,3.60,2.40,1.95,,
April,3.45,3.83,3.40,1.20,2.20,2.12,0.55,1.50,3.15,2.45,,
May,2.00,3.10,2.50,4.10,5.20,1.62,1.28,4.20,0.50,2.42,,
June,1.84,3.05,2.70,3.76,3.80,3.03,1.50,6.80,2.35,1.36,,
July,3.61,5.00,4.70,7.25,1.10,8.70,7.30,6.90,4.25,8.25,,
August,6.27,2.25,5.25,6.80,0.70,11.20,8.35,3.78,0.75,7.72,,
September,2.81,6.00,3.05,5.00,2.40,4.65,9.65,6.70,0.19,4.70,,
October,1.27,5.65,2.30,8.08,3.23,3.25,4.70,5.20,3.91,7.00,,
November,10.45,3.05,3.25,9.20,2.82,2.72,2.60,2.05,6.00,6.80,,
December,6.60,4.80,2.75,7.75,5.92,7.75,6.25,4.75,7.10,4.75,,
Total,55.69,49.38,39.80,67.54,39.38,57.47,53.68,59.78,35.90,61.38,,
Calc annual,55.69,49.38,39.80,67.54,39.38,57.47,53.68,59.78,35.90,61.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
