"THORNHAM (PS)",,,,,,,,,,,,
Grid ref,SE655033,Long,-1.013517,Lat,53.522296,,,,,,,
Station no,3111/5/7/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.25,2.08,1.69,4.35,,
February,,,,,,,1.67,3.39,0.11,1.73,,
March,,,,,,,1.17,1.75,0.65,1.45,,
April,,,,,,,0.21,0.35,2.19,0.78,,
May,,,,,,,0.89,2.34,0.37,0.97,,
June,,,,,,,1.77,4.20,0.52,0.57,,
July,,,,,,,5.14,4.86,1.48,2.33,,
August,,,,,,,3.77,2.06,0.32,3.25,,
September,,,,,,,3.69,1.80,0.00,2.37,,
October,,,,,,,1.22,1.48,1.91,5.59,,
November,,,,,,,2.37,1.24,2.81,3.58,,
December,,,,,,,1.85,2.78,2.51,1.87,,
Total,,,,,,,25.00,28.33,14.56,28.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.00,28.33,14.56,28.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
