"CONSETT (CROOKHALL SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NZ125505,Long,-1.806853,Lat,54.849151,,,,,,,
Station no,3545/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.42,2.08,0.45,2.72,2.25,3.23,1.99,2.12,2.74,4.89,,
February,2.15,0.42,1.41,2.19,2.95,2.53,2.57,3.46,0.60,2.66,,
March,4.83,1.25,0.03,1.28,2.09,0.92,1.42,2.38,0.85,2.93,,
April,1.66,1.32,1.90,0.73,0.43,1.17,0.34,1.79,2.02,1.16,,
May,3.02,1.53,1.83,4.38,2.00,0.75,1.78,3.81,0.67,2.82,,
June,1.57,1.31,1.99,1.78,2.74,3.89,1.56,3.08,3.06,0.26,,
July,1.64,0.70,1.78,1.93,1.21,2.62,3.89,3.88,1.87,4.43,,
August,4.30,1.73,4.39,7.16,0.78,7.80,4.97,1.68,0.13,3.04,,
September,1.08,2.97,1.57,2.53,0.95,2.96,3.49,2.29,1.15,2.73,,
October,0.71,2.18,1.97,4.18,1.82,1.64,1.73,1.65,1.32,9.64,,
November,4.45,2.34,1.22,4.85,1.90,0.57,2.20,0.42,4.75,2.56,,
December,2.29,2.18,0.95,2.55,3.23,2.42,2.03,4.47,4.21,2.09,,
Total,29.12,20.01,19.49,36.28,22.35,30.50,27.97,31.03,23.37,39.21,,
Calc annual,29.12,20.01,19.49,36.28,22.35,30.50,27.97,31.03,23.37,39.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
