"BOLTON W.W. (LONGWORTH)",,,,,,,,,,,,
Grid ref,SD692161,Long,-2.467331,Lat,53.640500,,,,,,,
Station no,2875,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.10,5.49,2.74,6.40,3.15,6.78,4.34,4.93,3.50,8.07,,
February,4.04,2.29,1.72,4.03,2.56,1.13,3.81,9.40,0.95,3.96,,
March,6.09,3.10,3.09,3.47,2.28,2.22,4.73,2.73,2.60,1.61,,
April,3.09,4.63,3.90,1.19,4.20,3.54,0.84,1.99,3.87,3.16,,
May,2.61,3.01,3.21,3.41,5.58,2.01,2.70,5.72,1.88,2.80,,
June,1.51,5.22,3.08,4.97,4.28,3.24,2.58,4.64,3.12,1.70,,
July,4.02,3.72,7.04,9.54,1.36,8.09,8.65,4.98,6.45,10.54,,
August,5.79,4.63,6.27,7.66,1.82,14.97,8.61,6.79,0.56,6.26,,
September,4.12,5.92,5.84,7.12,6.28,4.74,10.64,5.64,0.46,3.91,,
October,1.10,6.05,2.43,10.54,3.38,4.01,8.66,5.79,6.01,5.54,,
November,10.16,3.62,6.88,9.08,3.08,2.10,2.47,2.52,6.26,9.42,,
December,11.96,5.93,2.49,8.98,6.92,5.21,6.93,5.30,10.51,6.28,,
Total,60.59,53.61,48.69,76.39,44.89,58.04,64.96,60.43,46.17,63.25,,
Calc annual,60.59,53.61,48.69,76.39,44.89,58.04,64.96,60.43,46.17,63.25,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
