"IRVINESTOWN (R.U.C)",,,,,,,,,,,,
Grid ref,IH236582,Long,-7.636701,Lat,54.471857,,,,,,,
Station no,6188/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.55,5.69,1.92,3.30,2.89,3.13,4.62,5.12,2.50,3.52,,
February,3.99,2.04,1.29,4.39,4.04,2.61,2.67,3.27,1.91,2.26,,
March,4.13,2.17,0.59,3.60,0.81,1.77,3.27,2.26,2.93,2.66,,
April,2.14,2.02,1.67,1.11,2.96,1.37,1.95,1.75,3.47,2.76,,
May,1.74,1.75,1.62,3.41,3.37,1.79,2.00,3.34,1.86,2.14,,
June,2.56,2.76,1.15,2.51,4.66,5.22,1.25,4.26,2.90,3.16,,
July,3.32,1.79,5.21,4.74,2.27,4.16,4.83,4.28,4.10,7.15,,
August,4.68,5.00,3.29,2.96,0.78,7.47,5.33,5.07,1.19,5.81,,
September,2.52,2.04,4.40,5.16,4.38,3.67,5.23,3.31,1.99,3.08,,
October,1.72,4.62,2.57,7.08,2.63,3.28,3.43,3.08,5.63,2.62,,
November,4.67,2.19,5.37,5.21,3.28,3.12,1.88,3.38,5.30,5.03,,
December,5.27,3.95,2.76,4.83,3.83,4.88,4.56,4.90,5.43,5.33,,
Total,40.29,36.02,31.84,48.30,35.90,42.47,41.02,44.02,39.21,45.52,,
Calc annual,40.29,36.02,31.84,48.30,35.90,42.47,41.02,44.02,39.21,45.52,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
