"UPPER GLENGYLE",,,,,,,,,,,,
Grid ref,NN361148,Long,-4.650196,Lat,56.297225,,,,,,,
Station no,5523,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.52,7.80,7.30,9.40,6.70,6.60,15.50,11.30,3.90,6.80,,
February,7.00,3.30,6.00,8.30,4.30,3.80,8.10,4.80,4.90,8.70,,
March,5.80,9.60,3.50,6.90,2.80,5.10,10.30,2.90,8.80,4.40,,
April,8.40,4.50,6.10,4.80,6.30,2.90,4.10,3.90,7.10,11.20,,
May,2.25,2.51,5.80,6.40,6.00,6.80,4.10,7.70,2.90,5.60,,
June,4.20,7.60,2.40,6.70,4.60,5.90,3.70,4.50,5.40,4.50,,
July,7.40,5.20,10.80,4.80,1.60,7.20,7.40,5.80,10.30,8.30,,
August,9.50,8.70,8.20,8.20,2.50,7.60,7.90,9.30,5.30,4.80,,
September,8.20,6.10,12.10,12.30,9.40,10.10,6.40,9.50,2.60,,,
October,3.90,9.60,8.70,16.00,7.30,6.60,10.60,8.80,10.80,,,
November,14.50,3.50,17.50,15.80,5.50,5.40,4.40,3.60,13.40,,,
December,14.90,9.00,11.50,18.00,16.30,14.50,14.10,12.20,18.40,,,
Total,95.57,77.41,99.90,117.60,73.30,82.50,96.60,84.30,93.80,,,
Calc annual,95.57,77.41,99.90,117.60,73.30,82.50,96.60,84.30,93.80,54.30,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,NaN,,
