"WELLINGTON (WREKIN COLLEGE)",,,,,,,,,,,,
Grid ref,SJ655117,Long,-2.511992,Lat,52.701865,,,,,,,
Station no,2298/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,2.80,0.79,1.85,2.21,3.22,1.80,1.99,3.27,4.85,,
February,2.84,0.40,1.70,2.01,1.31,0.85,1.61,3.48,0.27,2.13,,
March,4.94,2.06,1.07,1.98,3.97,1.24,1.90,1.12,2.24,1.79,,
April,2.25,1.82,3.53,0.54,1.24,1.66,0.17,0.57,3.58,1.39,,
May,3.99,3.67,2.26,3.12,3.74,0.85,1.18,1.73,1.12,1.99,,
June,1.31,2.31,2.25,2.87,3.68,3.30,2.19,5.81,1.70,2.51,,
July,1.94,0.87,2.38,2.83,0.52,1.36,2.43,4.17,1.76,3.00,,
August,3.81,2.59,2.46,4.72,1.95,4.18,5.18,4.30,0.64,2.72,,
September,1.83,1.71,2.59,1.45,2.09,3.15,5.57,4.40,0.29,5.27,,
October,1.10,3.98,2.33,3.97,1.37,2.03,2.17,2.31,2.60,5.61,,
November,6.53,2.20,1.74,7.09,2.13,0.77,2.09,1.65,3.36,4.18,,
December,2.90,3.18,1.16,2.41,2.12,3.34,1.41,3.01,4.57,2.70,,
Total,36.36,27.59,24.26,34.84,26.33,25.95,27.70,34.54,25.40,38.14,,
Calc annual,36.36,27.59,24.26,34.84,26.33,25.95,27.70,34.54,25.40,38.14,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
