"WIMBORNE (CORFE MULLEN W.W.)",,,,,,,,,,,,
Grid ref,SY973981,Long,-2.039665,Lat,50.782468,,,,,,,
Station no,1607,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,2.13,0.91,1.62,3.59,5.49,3.30,4.79,4.52,3.69,,
February,5.96,0.48,1.49,2.97,2.11,0.13,4.36,3.08,0.31,3.31,,
March,3.90,2.82,0.55,3.97,1.38,0.77,3.25,1.70,3.75,2.28,,
April,3.15,1.78,2.70,0.11,0.53,1.95,0.11,0.77,2.87,2.21,,
May,2.39,2.32,2.66,2.18,4.03,0.52,2.34,2.45,0.86,2.60,,
June,0.32,0.67,2.03,2.65,2.64,2.19,1.74,4.51,1.52,2.68,,
July,1.22,0.70,2.85,2.61,1.59,2.47,3.48,2.00,2.26,3.59,,
August,5.07,3.36,1.75,3.20,0.30,4.15,2.83,2.95,2.06,4.63,,
September,3.91,3.92,3.69,3.31,1.16,5.32,3.16,4.10,0.24,6.77,,
October,1.17,4.52,3.82,3.14,4.49,2.27,3.01,3.75,3.05,9.05,,
November,9.43,3.61,2.11,6.43,3.39,0.76,2.52,2.73,4.11,6.59,,
December,2.90,2.79,0.95,3.57,5.84,6.24,2.86,3.99,7.81,3.49,,
Total,42.95,29.10,25.51,35.76,31.05,32.26,32.96,36.82,33.36,50.89,,
Calc annual,42.95,29.10,25.51,35.76,31.05,32.26,32.96,36.82,33.36,50.89,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
