"LOCHBOISDALE (DALIBURGH)",,,,,,,,,,,,
Grid ref,NF756206,Long,-7.368028,Lat,57.161169,,,,,,,
Station no,5764/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.35,2.79,5.28,5.50,,2.93,,
February,,,,,1.79,1.58,3.74,3.12,,,,
March,,,,,1.80,1.75,4.90,0.63,,,,
April,,,,,2.03,1.34,,1.79,,,,
May,,,,,1.53,4.34,2.03,3.22,,,,
June,,,,,1.64,2.64,,2.16,,,,
July,,,,,1.42,3.91,3.52,0.83,,,,
August,,,,,1.73,1.15,,3.22,,,,
September,,,,,3.26,2.61,,3.62,,,,
October,,,,,3.43,2.53,,4.39,,,,
November,,,,4.31,,4.15,,2.65,,,,
December,,,,4.29,,6.15,,3.68,,,,
Total,,,,,,34.94,,34.81,,,,
Calc annual,0.00,0.00,0.00,8.60,21.98,34.94,19.47,34.81,0.00,2.93,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,NaN,NaN,,
