"MORPETH (TRITLINGTON SCHOOL)",,,,,,,,,,,,
Grid ref,NZ188923,Long,-1.706004,Lat,55.224570,,,,,,,
Station no,3587/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.05,2.40,0.71,3.14,,4.00,2.76,4.98,,,,
February,2.47,0.80,1.50,2.35,1.70,1.78,2.80,2.56,,,,
March,4.47,2.31,0.22,1.41,1.21,0.75,2.63,4.12,,,,
April,2.11,1.13,2.46,,,1.10,0.32,2.14,,,,
May,3.97,1.92,1.98,,2.13,0.35,2.13,2.33,,,,
June,1.62,0.77,1.91,,,2.06,1.79,3.26,,,,
July,1.50,2.29,2.21,2.40,,3.54,3.70,3.25,,,,
August,3.76,3.63,3.49,,,8.52,4.00,1.90,,,,
September,0.80,3.85,1.57,2.68,,2.49,3.42,2.58,,,,
October,0.81,3.94,1.43,,,1.53,2.71,1.39,,,,
November,7.45,3.61,1.45,2.78,1.52,0.83,1.75,0.56,,,,
December,1.35,3.52,1.27,1.24,,1.66,2.28,4.24,,,,
Total,32.36,30.17,20.20,,,28.61,30.29,33.31,,,,
Calc annual,32.36,30.17,20.20,16.00,6.56,28.61,30.29,33.31,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,,
